"Tabela 2031 - Pessoas de 10 anos ou mais de idade ocupadas na semana de referência por posição na ocupação e categoria do emprego no trabalho principal"
"Variável - Pessoas de 10 anos ou mais de idade ocupadas na semana de referência - percentual do total geral"
"Cód.","Município","Ano x Posição na ocupação e categoria do emprego no trabalho principal"
"Cód.","Município","2000",,,,,,,,,"2010"
"Cód.","Município","Total","Empregado","Empregado - com carteira de trabalho assinada","Empregado - militar e funcionário público estatutário","Empregado - outro sem carteira de trabalho assinada","Não remunerado em ajuda a membro do domicílio","Trabalhador na produção para o próprio consumo","Empregador","Conta própria","Total","Empregado","Empregado - com carteira de trabalho assinada","Empregado - militar e funcionário público estatutário","Empregado - outro sem carteira de trabalho assinada","Não remunerado em ajuda a membro do domicílio","Trabalhador na produção para o próprio consumo","Empregador","Conta própria"
"1100700","Campo Novo de Rondônia (RO)","100.00","29.68","11.46","3.11","15.11","15.86","22.45","0.79","31.22","100.00","42.67","7.56","7.48","27.63","10.99","4.84","0.82","40.68"
"1100809","Candeias do Jamari (RO)","100.00","63.00","18.12","4.96","39.92","4.38","5.11","0.98","26.53","100.00","68.38","39.38","5.82","23.17","0.86","9.18","0.80","20.78"
"1100908","Castanheiras (RO)","100.00","33.28","9.01","6.57","17.70","4.24","13.71","0.78","48.00","100.00","45.64","12.49","17.17","15.99","8.62","17.14","0.29","28.31"
"1100924","Chupinguaia (RO)","100.00","59.12","28.07","4.43","26.63","5.47","3.81","2.43","29.17","100.00","69.80","41.88","3.84","24.08","1.94","7.05","0.70","20.52"
"1100940","Cujubim (RO)","100.00","37.45","10.82","2.66","23.97","12.35","8.38","1.74","40.08","100.00","54.93","22.22","5.48","27.23","2.00","8.00","1.77","33.30"
"1101005","Governador Jorge Teixeira (RO)","100.00","19.09","4.78","1.53","12.77","13.19","12.61","0.25","54.87","100.00","33.42","11.28","4.44","17.71","8.07","16.64","-","41.87"
"1101104","Itapuã do Oeste (RO)","100.00","57.18","18.22","9.26","29.70","4.14","3.35","1.89","33.44","100.00","52.56","22.20","9.58","20.79","3.56","14.43","1.67","27.77"
"1101203","Ministro Andreazza (RO)","100.00","22.73","6.05","2.18","14.50","2.21","14.55","2.79","57.71","100.00","36.66","13.52","6.39","16.74","9.30","15.32","1.07","37.66"
"1101302","Mirante da Serra (RO)","100.00","41.18","13.42","2.55","25.21","18.42","0.68","2.24","37.48","100.00","48.48","14.47","7.64","26.37","2.09","17.75","1.57","30.12"
"1101401","Monte Negro (RO)","100.00","34.38","12.28","4.25","17.85","8.47","2.56","1.90","52.69","100.00","46.52","18.86","7.34","20.32","6.67","9.68","0.62","36.50"
"1101435","Nova União (RO)","100.00","32.43","5.06","6.58","20.79","23.23","1.75","0.73","41.85","100.00","33.72","7.82","4.58","21.33","19.10","13.82","0.29","33.07"
"1101450","Parecis (RO)","100.00","39.04","16.23","9.09","13.71","8.32","1.04","3.05","48.55","100.00","48.97","22.67","7.09","19.21","5.87","23.90","2.18","19.07"
"1101468","Pimenteiras do Oeste (RO)","100.00","62.08","13.98","11.91","36.19","5.40","5.37","0.50","26.65","100.00","57.13","14.61","18.13","24.39","4.25","9.44","0.74","28.44"
"1101476","Primavera de Rondônia (RO)","100.00","23.20","5.83","3.80","13.57","19.00","18.72","0.95","38.12","100.00","48.66","18.50","10.28","19.89","3.73","9.20","0.31","38.10"
"1101484","São Felipe D'Oeste (RO)","100.00","22.90","8.87","1.29","12.74","18.52","2.98","1.00","54.59","100.00","41.28","18.16","9.63","13.49","3.22","16.02","0.59","38.89"
"1101492","São Francisco do Guaporé (RO)","100.00","39.86","13.71","1.66","24.49","13.48","3.40","0.64","42.62","100.00","43.95","15.38","5.12","23.45","5.74","13.42","1.11","35.78"
"1101500","Seringueiras (RO)","100.00","20.45","8.84","0.44","11.18","22.80","11.21","0.11","45.44","100.00","32.47","14.92","1.57","15.98","12.93","14.90","0.14","39.56"
"1101559","Teixeirópolis (RO)","100.00","32.87","6.43","7.64","18.79","22.53","2.25","1.03","41.32","100.00","41.52","11.69","10.23","19.60","5.27","16.72","0.75","35.73"
"1101609","Theobroma (RO)","100.00","20.75","6.32","3.75","10.68","20.77","10.30","0.22","47.97","100.00","32.49","9.11","8.87","14.51","6.11","25.57","0.37","35.45"
"1101708","Urupá (RO)","100.00","27.04","11.52","2.70","12.81","13.91","21.31","1.02","36.72","100.00","37.76","12.05","4.06","21.65","7.13","25.75","1.10","28.26"
"1101757","Vale do Anari (RO)","100.00","23.02","5.55","4.99","12.48","25.12","1.71","1.32","48.83","100.00","35.54","9.54","8.43","17.57","10.52","14.39","1.79","37.76"
"1101807","Vale do Paraíso (RO)","100.00","26.20","7.25","3.70","15.25","18.61","5.94","0.97","48.28","100.00","47.04","10.63","11.99","24.43","3.64","11.06","0.19","38.06"
"1200013","Acrelândia (AC)","100.00","51.92","11.24","2.83","37.84","11.08","7.74","2.26","27.00","100.00","52.44","26.44","1.09","24.92","1.37","16.87","3.49","25.82"
"1200054","Assis Brasil (AC)","100.00","51.82","17.43","13.16","21.23","3.65","6.38","0.13","38.03","100.00","61.94","22.67","3.48","35.78","4.02","16.15","0.63","17.26"
"1200104","Brasiléia (AC)","100.00","49.99","16.28","6.33","27.38","7.10","15.53","2.11","25.27","100.00","54.30","23.16","2.72","28.41","4.14","12.84","0.29","28.43"
"1200138","Bujari (AC)","100.00","50.13","19.98","1.36","28.79","10.79","17.50","1.06","20.52","100.00","55.33","25.75","3.30","26.27","1.45","22.07","0.23","20.92"
"1200179","Capixaba (AC)","100.00","34.79","10.36","1.76","22.67","17.66","1.41","1.63","44.51","100.00","45.01","23.64","0.39","20.98","11.47","17.39","0.05","26.08"
"1200203","Cruzeiro do Sul (AC)","100.00","53.82","24.88","6.02","22.93","8.68","4.79","1.12","31.59","100.00","65.61","30.51","6.96","28.14","1.63","10.36","0.74","21.65"
"1200252","Epitaciolândia (AC)","100.00","63.51","11.75","9.97","41.79","3.04","1.68","1.73","30.05","100.00","57.12","25.26","2.33","29.54","1.95","7.05","0.72","33.15"
"1200302","Feijó (AC)","100.00","37.89","15.36","1.73","20.80","8.29","16.09","1.12","36.61","100.00","45.58","18.14","3.03","24.40","10.28","24.76","0.19","19.20"
"1200328","Jordão (AC)","100.00","29.70","3.66","9.10","16.94","8.58","15.09","-","46.64","100.00","54.28","22.76","3.96","27.55","7.14","23.66","0.60","14.32"
"1200336","Mâncio Lima (AC)","100.00","32.81","14.84","7.36","10.62","23.80","11.78","0.57","31.03","100.00","49.97","17.97","6.53","25.46","4.30","18.41","0.73","26.60"
"1200344","Manoel Urbano (AC)","100.00","40.24","13.42","9.32","17.50","17.35","21.89","0.96","19.55","100.00","58.80","22.62","7.63","28.56","0.21","22.88","0.40","17.71"
"1200351","Marechal Thaumaturgo (AC)","100.00","22.49","16.87","-","5.62","12.44","15.68","1.05","48.34","100.00","37.70","12.22","0.28","25.20","5.85","34.59","0.09","21.77"
"1200385","Plácido de Castro (AC)","100.00","48.95","14.84","8.74","25.37","12.05","4.78","0.69","33.53","100.00","64.43","34.00","1.71","28.72","1.81","13.39","1.40","18.97"
"1200393","Porto Walter (AC)","100.00","20.33","12.32","2.46","5.55","38.62","4.72","0.31","36.02","100.00","31.03","12.50","0.90","17.62","11.35","33.51","0.26","23.85"
"1200401","Rio Branco (AC)","100.00","73.01","40.72","6.21","26.08","1.75","1.44","1.87","21.93","100.00","76.18","47.31","6.98","21.89","1.50","1.60","1.29","19.44"
"1200427","Rodrigues Alves (AC)","100.00","28.67","18.98","2.84","6.85","15.89","19.40","0.38","35.66","100.00","33.69","14.35","1.07","18.27","9.76","23.26","0.10","33.18"
"1200435","Santa Rosa do Purus (AC)","100.00","50.35","8.11","1.88","40.36","4.09","4.41","-","41.15","100.00","57.11","22.69","6.84","27.59","1.19","31.19","1.07","9.44"
"1200450","Senador Guiomard (AC)","100.00","61.20","27.24","4.75","29.20","7.52","2.09","0.63","28.56","100.00","71.92","38.42","3.13","30.37","1.76","4.94","0.82","20.57"
"1200500","Sena Madureira (AC)","100.00","43.86","11.32","7.48","25.06","15.02","9.67","1.08","30.37","100.00","58.12","27.80","1.95","28.37","4.06","8.90","0.30","28.61"
"1200609","Tarauacá (AC)","100.00","46.45","14.25","6.27","25.93","7.31","18.15","1.98","26.11","100.00","56.30","23.41","1.08","31.80","4.94","22.94","0.93","14.90"
