"Tabela 2031 - Pessoas de 10 anos ou mais de idade ocupadas na semana de referência por posição na ocupação e categoria do emprego no trabalho principal"
"Variável - Pessoas de 10 anos ou mais de idade ocupadas na semana de referência - percentual do total geral"
"Cód.","Município","Ano x Posição na ocupação e categoria do emprego no trabalho principal"
"Cód.","Município","2000",,,,,,,,,"2010"
"Cód.","Município","Total","Empregado","Empregado - com carteira de trabalho assinada","Empregado - militar e funcionário público estatutário","Empregado - outro sem carteira de trabalho assinada","Não remunerado em ajuda a membro do domicílio","Trabalhador na produção para o próprio consumo","Empregador","Conta própria","Total","Empregado","Empregado - com carteira de trabalho assinada","Empregado - militar e funcionário público estatutário","Empregado - outro sem carteira de trabalho assinada","Não remunerado em ajuda a membro do domicílio","Trabalhador na produção para o próprio consumo","Empregador","Conta própria"
"2408706","Paraú (RN)","100.00","68.24","32.28","4.25","31.71","0.94","12.62","1.33","16.87","100.00","61.49","25.82","5.77","29.91","1.21","15.05","0.23","22.02"
"2408805","Parazinho (RN)","100.00","55.38","6.75","10.45","38.18","7.91","9.08","2.02","25.61","100.00","59.87","12.93","7.20","39.74","3.72","7.81","1.04","27.56"
"2408904","Parelhas (RN)","100.00","65.25","25.94","6.93","32.38","4.69","5.12","2.25","22.68","100.00","67.44","28.31","6.63","32.50","1.43","4.88","3.29","22.97"
"2408953","Rio do Fogo (RN)","100.00","56.40","13.30","4.17","38.94","2.32","18.86","0.72","21.69","100.00","64.98","16.20","6.36","42.43","4.23","8.21","2.95","19.63"
"2409100","Passa e Fica (RN)","100.00","35.14","9.37","4.55","21.22","14.86","14.85","0.29","34.85","100.00","56.49","11.24","4.67","40.58","3.15","15.92","1.20","23.24"
"2409209","Passagem (RN)","100.00","53.44","21.95","15.74","15.76","4.96","35.47","-","6.13","100.00","69.19","17.15","10.11","41.94","-","5.32","-","25.49"
"2409308","Patu (RN)","100.00","58.40","17.75","5.54","35.12","6.31","8.39","0.74","26.16","100.00","59.29","19.42","2.28","37.60","2.57","6.32","1.13","30.69"
"2409332","Santa Maria (RN)","100.00","59.32","20.50","-","38.82","-","6.48","1.88","32.32","100.00","70.16","29.85","0.17","40.14","1.68","7.18","0.63","20.35"
"2409407","Pau dos Ferros (RN)","100.00","62.03","19.26","8.10","34.67","3.50","6.51","1.42","26.54","100.00","71.20","27.01","8.31","35.88","2.08","3.70","1.80","21.21"
"2409506","Pedra Grande (RN)","100.00","55.06","10.60","2.42","42.05","12.26","14.78","-","17.89","100.00","51.34","14.48","9.36","27.51","-","9.78","1.85","37.03"
"2409605","Pedra Preta (RN)","100.00","59.50","39.96","2.72","16.83","7.19","28.56","-","4.75","100.00","44.55","17.95","0.70","25.89","0.40","39.97","2.69","12.39"
"2409704","Pedro Avelino (RN)","100.00","62.96","14.67","8.26","40.04","6.46","10.15","1.67","18.76","100.00","65.84","19.95","6.77","39.12","1.70","13.39","0.73","18.34"
"2409803","Pedro Velho (RN)","100.00","47.82","21.71","4.22","21.90","6.42","26.97","1.03","17.76","100.00","56.29","20.54","8.06","27.68","2.43","21.20","0.71","19.37"
"2409902","Pendências (RN)","100.00","69.59","34.52","3.41","31.67","2.87","1.43","0.62","25.49","100.00","80.28","42.16","5.91","32.21","1.47","3.45","0.48","14.32"
"2410009","Pilões (RN)","100.00","63.12","16.35","18.04","28.73","4.69","18.96","0.89","12.34","100.00","69.11","17.57","13.84","37.70","1.82","4.13","1.82","23.13"
"2410108","Poço Branco (RN)","100.00","46.48","15.69","2.40","28.39","6.45","39.88","0.78","6.40","100.00","65.43","28.66","7.82","28.95","0.79","18.83","0.17","14.78"
"2410207","Portalegre (RN)","100.00","37.43","13.58","4.10","19.75","12.34","25.89","0.42","23.93","100.00","55.14","18.17","4.64","32.33","2.72","24.96","0.78","16.41"
"2410256","Porto do Mangue (RN)","100.00","53.84","12.31","2.97","38.56","7.35","4.57","-","34.24","100.00","57.24","25.75","1.21","30.28","1.76","10.15","0.13","30.72"
"2410306","Serra Caiada (RN)","100.00","40.63","11.97","4.82","23.85","27.24","15.91","1.60","14.61","100.00","53.52","16.44","4.96","32.13","0.57","33.51","0.10","12.30"
"2410405","Pureza (RN)","100.00","60.81","15.70","6.43","38.68","2.30","3.91","0.50","32.48","100.00","60.83","22.80","0.39","37.65","3.03","17.79","0.86","17.48"
"2410504","Rafael Fernandes (RN)","100.00","41.98","12.11","9.65","20.23","5.12","22.42","0.42","30.06","100.00","57.15","15.44","13.48","28.22","0.22","1.04","1.85","39.74"
"2410603","Rafael Godeiro (RN)","100.00","43.90","15.19","11.32","17.39","1.17","37.59","1.17","16.17","100.00","55.54","9.18","6.91","39.46","5.07","14.62","-","24.77"
"2410702","Riacho da Cruz (RN)","100.00","35.60","20.07","1.54","13.98","6.27","47.36","-","10.77","100.00","71.06","22.23","0.38","48.45","2.70","17.04","0.09","9.11"
"2410801","Riacho de Santana (RN)","100.00","32.94","9.34","10.49","13.11","1.21","56.75","-","9.11","100.00","52.70","16.85","2.79","33.05","1.48","29.38","0.55","15.89"
"2410900","Riachuelo (RN)","100.00","57.44","23.26","4.89","29.29","6.30","20.45","1.02","14.78","100.00","62.68","18.41","9.84","34.43","3.72","17.39","0.72","15.49"
"2411007","Rodolfo Fernandes (RN)","100.00","62.92","15.01","2.99","44.91","1.60","13.57","1.95","19.96","100.00","69.73","15.16","2.48","52.09","2.76","5.27","0.56","21.68"
"2411056","Tibau (RN)","100.00","79.30","14.47","11.18","53.65","1.99","1.47","1.33","15.90","100.00","70.28","26.53","7.88","35.87","3.51","2.24","2.22","21.75"
"2411106","Ruy Barbosa (RN)","100.00","45.28","18.92","5.68","20.68","22.32","25.84","0.48","6.08","100.00","53.14","26.82","1.69","24.63","1.52","32.94","-","12.39"
"2411205","Santa Cruz (RN)","100.00","65.08","18.42","11.66","35.00","2.67","9.32","0.87","22.06","100.00","60.95","25.35","6.22","29.38","4.45","11.65","1.20","21.76"
"2411403","Santana do Matos (RN)","100.00","45.62","11.49","6.52","27.60","1.72","31.81","0.10","20.75","100.00","52.86","13.69","3.85","35.32","1.07","29.96","0.55","15.57"
"2411429","Santana do Seridó (RN)","100.00","75.49","14.61","19.95","40.93","-","1.53","-","22.98","100.00","62.70","15.18","5.19","42.33","4.47","13.45","0.26","19.12"
"2411502","Santo Antônio (RN)","100.00","46.64","17.17","2.79","26.68","9.44","20.99","0.84","22.09","100.00","50.33","22.91","2.52","24.91","3.80","19.84","0.87","25.17"
"2411601","São Bento do Norte (RN)","100.00","42.20","6.84","7.33","28.03","5.65","17.07","2.04","33.05","100.00","45.44","18.19","6.42","20.83","-","21.28","0.79","32.49"
"2411700","São Bento do Trairí (RN)","100.00","51.31","14.41","12.22","24.67","12.16","25.00","0.65","10.89","100.00","60.30","27.05","5.94","27.31","1.07","28.59","-","10.04"
"2411809","São Fernando (RN)","100.00","77.34","19.75","1.76","55.83","2.76","2.02","2.80","15.08","100.00","72.66","30.98","4.33","37.36","-","12.87","0.48","13.99"
"2411908","São Francisco do Oeste (RN)","100.00","54.61","14.38","9.90","30.33","2.21","21.51","1.86","19.81","100.00","67.61","20.49","7.31","39.81","1.96","14.61","-","15.83"
"2412005","São Gonçalo do Amarante (RN)","100.00","77.24","42.96","5.95","28.33","1.61","1.92","0.57","18.66","100.00","81.29","55.52","5.23","20.53","0.55","2.00","0.47","15.69"
"2412104","São João do Sabugi (RN)","100.00","51.91","15.74","9.63","26.54","7.51","16.00","0.12","24.47","100.00","50.12","11.14","14.61","24.37","4.87","12.13","0.27","32.61"
"2412203","São José de Mipibu (RN)","100.00","71.43","27.19","5.65","38.59","3.33","3.67","1.30","20.27","100.00","71.66","31.39","4.91","35.37","0.76","4.96","0.69","21.93"
"2412302","São José do Campestre (RN)","100.00","37.61","13.49","7.08","17.04","7.58","23.42","0.48","30.91","100.00","56.00","13.75","10.07","32.18","1.87","13.40","0.35","28.37"
"2412401","São José do Seridó (RN)","100.00","58.74","12.64","8.78","37.32","5.72","2.49","1.77","31.28","100.00","66.85","23.38","7.29","36.19","0.56","0.43","1.89","30.26"
"2412500","São Miguel (RN)","100.00","30.89","9.34","3.32","18.23","22.56","34.14","0.31","12.09","100.00","50.08","13.73","3.43","32.92","7.11","19.72","0.86","22.23"
"2412559","São Miguel do Gostoso (RN)","100.00","29.68","6.17","4.45","19.06","26.17","21.09","2.05","21.00","100.00","50.56","16.41","2.80","31.34","5.23","17.12","1.09","26.00"
"2412609","São Paulo do Potengi (RN)","100.00","61.84","27.74","4.74","29.36","4.99","10.09","1.67","21.42","100.00","65.54","30.24","4.60","30.70","1.25","9.17","1.96","22.08"
"2412708","São Pedro (RN)","100.00","54.97","15.85","3.72","35.40","0.73","30.11","0.69","13.49","100.00","65.87","23.06","8.36","34.46","0.56","11.83","0.53","21.21"
"2412807","São Rafael (RN)","100.00","39.27","9.84","4.43","25.00","6.62","9.83","0.56","43.71","100.00","49.25","15.17","0.76","33.33","1.94","21.52","0.39","26.90"
"2412906","São Tomé (RN)","100.00","36.58","15.31","1.23","20.04","2.12","49.73","0.22","11.35","100.00","50.54","21.20","2.46","26.88","2.69","25.94","0.74","20.09"
"2413003","São Vicente (RN)","100.00","45.24","7.62","14.28","23.35","14.24","22.30","0.47","17.74","100.00","55.80","19.45","4.63","31.72","2.43","15.37","0.62","25.78"
"2413102","Senador Elói de Souza (RN)","100.00","50.11","14.08","7.80","28.23","8.28","25.96","1.56","14.09","100.00","47.72","15.41","6.95","25.36","0.38","31.41","-","20.49"
"2413201","Senador Georgino Avelino (RN)","100.00","76.49","31.27","7.17","38.06","0.24","1.31","0.39","21.57","100.00","75.44","42.28","10.70","22.47","2.09","3.87","0.41","18.19"
"2413300","Serra de São Bento (RN)","100.00","27.09","16.74","0.16","10.19","10.65","55.96","-","6.30","100.00","50.51","25.43","2.10","22.97","2.87","38.77","1.03","6.82"
"2413359","Serra do Mel (RN)","100.00","35.14","10.95","3.29","20.90","15.33","8.76","-","40.78","100.00","58.00","14.08","3.40","40.52","4.11","8.27","0.28","29.34"
"2413409","Serra Negra do Norte (RN)","100.00","61.25","9.79","7.13","44.33","4.61","6.14","0.98","27.02","100.00","65.43","28.62","0.96","35.85","1.19","6.35","0.62","26.41"
"2413508","Serrinha (RN)","100.00","48.51","6.30","0.61","41.60","18.41","16.05","0.41","16.62","100.00","54.30","8.37","5.10","40.82","3.03","24.46","-","18.21"
"2413557","Serrinha dos Pintos (RN)","100.00","34.36","14.67","1.65","18.04","13.36","36.33","1.28","14.67","100.00","54.88","9.13","11.44","34.31","0.21","30.22","0.98","13.72"
"2413607","Severiano Melo (RN)","100.00","49.52","13.13","2.29","34.10","12.01","9.33","1.49","27.65","100.00","66.07","15.72","4.83","45.52","1.59","17.64","0.28","14.42"
"2413706","Sítio Novo (RN)","100.00","31.37","8.44","7.31","15.62","0.66","61.82","-","6.16","100.00","53.54","16.67","14.56","22.31","3.70","25.54","0.19","17.02"
"2413805","Taboleiro Grande (RN)","100.00","64.39","28.82","0.82","34.75","-","11.60","0.95","23.06","100.00","89.23","24.17","5.74","59.32","-","2.09","0.28","8.40"
"2413904","Taipu (RN)","100.00","63.23","19.85","7.01","36.37","1.33","6.03","0.17","29.23","100.00","63.82","26.97","6.37","30.49","1.70","22.15","0.22","12.11"
"2414001","Tangará (RN)","100.00","47.79","17.01","7.25","23.53","9.79","19.43","0.29","22.71","100.00","62.64","25.31","6.63","30.70","2.46","12.33","0.61","21.96"
"2414100","Tenente Ananias (RN)","100.00","45.59","15.90","3.97","25.72","5.75","37.31","0.14","11.21","100.00","68.80","9.73","1.44","57.63","1.16","15.55","1.54","12.95"
"2414159","Tenente Laurentino Cruz (RN)","100.00","47.99","20.52","4.11","23.37","14.16","3.58","0.43","33.84","100.00","48.09","15.92","1.36","30.81","5.19","15.05","1.15","30.52"
"2414209","Tibau do Sul (RN)","100.00","65.95","19.73","4.88","41.33","4.45","2.41","2.48","24.72","100.00","64.74","33.15","5.73","25.86","0.13","3.30","1.59","30.25"
"2414308","Timbaúba dos Batistas (RN)","100.00","41.81","3.47","16.31","22.03","2.69","13.04","-","42.46","100.00","55.42","22.84","1.33","31.25","1.78","2.94","0.40","39.47"
"2414407","Touros (RN)","100.00","50.41","15.00","1.42","33.98","7.71","9.30","2.09","30.50","100.00","46.62","15.65","2.45","28.52","3.92","13.10","0.69","35.66"
"2414456","Triunfo Potiguar (RN)","100.00","59.41","9.61","7.05","42.75","7.27","22.94","0.54","9.83","100.00","57.96","18.33","5.33","34.30","3.37","11.32","1.13","26.21"
"2414506","Umarizal (RN)","100.00","53.29","17.23","3.26","32.80","3.90","19.23","2.10","21.48","100.00","69.28","19.26","3.24","46.78","1.68","10.31","0.59","18.14"
"2414605","Upanema (RN)","100.00","49.49","22.94","3.42","23.13","3.05","31.94","1.17","14.35","100.00","54.75","17.98","4.66","32.12","3.02","24.11","-","18.12"
"2414704","Várzea (RN)","100.00","47.63","18.18","4.70","24.75","12.20","25.46","0.32","14.39","100.00","58.49","24.09","6.47","27.93","1.74","16.76","0.29","22.73"
"2414753","Venha-Ver (RN)","100.00","30.61","12.08","13.40","5.13","5.50","62.33","-","1.56","100.00","31.64","8.22","7.34","16.08","1.39","57.53","-","9.44"
"2414803","Vera Cruz (RN)","100.00","63.34","9.88","2.03","51.42","8.24","3.50","1.05","23.87","100.00","75.18","18.49","4.52","52.17","1.57","4.79","0.39","18.07"
"2414902","Viçosa (RN)","100.00","43.66","21.79","1.47","20.40","-","47.08","-","9.25","100.00","65.23","26.19","0.95","38.09","0.95","21.30","0.20","12.32"
"2415008","Vila Flor (RN)","100.00","73.30","56.76","2.63","13.91","0.95","0.53","-","25.22","100.00","71.69","36.04","4.34","31.30","2.53","13.84","-","11.94"
"2500106","Água Branca (PB)","100.00","26.01","4.57","8.34","13.09","11.50","45.45","0.43","16.61","100.00","48.46","11.09","11.85","25.51","1.94","33.00","0.46","16.15"
"2500205","Aguiar (PB)","100.00","39.81","8.64","4.30","26.87","31.25","0.65","2.46","25.83","100.00","44.85","9.74","1.40","33.71","4.45","26.49","0.98","23.23"
"2500304","Alagoa Grande (PB)","100.00","47.98","13.39","5.64","28.96","15.20","11.74","1.06","24.02","100.00","49.79","14.63","6.07","29.10","3.37","21.07","1.41","24.36"
"2500403","Alagoa Nova (PB)","100.00","43.70","3.79","7.45","32.47","9.15","20.87","1.17","25.11","100.00","44.30","10.73","9.22","24.35","4.34","21.39","0.44","29.53"
"2500502","Alagoinha (PB)","100.00","46.62","15.57","9.05","22.00","19.90","11.25","1.00","21.22","100.00","50.66","18.31","7.66","24.68","1.28","22.45","0.08","25.53"
"2500536","Alcantil (PB)","100.00","34.19","7.33","10.40","16.46","3.21","25.61","-","37.00","100.00","55.57","5.80","8.48","41.30","0.70","15.55","-","28.18"
"2500577","Algodão de Jandaíra (PB)","100.00","38.42","4.11","8.08","26.24","26.60","25.47","-","9.50","100.00","48.71","3.09","11.70","33.92","-","36.30","-","14.99"
"2500601","Alhandra (PB)","100.00","57.22","19.83","7.35","30.04","8.76","4.96","-","29.05","100.00","68.13","28.85","4.31","34.97","2.20","5.87","0.26","23.53"
"2500700","São João do Rio do Peixe (PB)","100.00","40.31","7.67","9.14","23.51","1.11","22.96","0.59","35.03","100.00","51.06","10.44","6.21","34.42","2.55","20.42","0.54","25.43"
"2500734","Amparo (PB)","100.00","65.51","-","34.66","30.85","10.82","-","1.37","22.30","100.00","39.05","2.66","8.56","27.82","0.91","42.55","0.25","17.25"
"2500775","Aparecida (PB)","100.00","40.73","6.86","8.59","25.28","14.12","9.49","1.91","33.74","100.00","50.64","12.04","6.12","32.49","0.28","17.93","0.80","30.35"
"2500809","Araçagi (PB)","100.00","31.89","10.17","4.48","17.24","8.02","38.72","0.39","20.98","100.00","43.56","12.76","1.64","29.16","4.15","33.87","0.40","18.01"
"2500908","Arara (PB)","100.00","36.23","5.07","8.11","23.05","16.07","30.94","0.84","15.92","100.00","48.55","5.92","6.20","36.44","3.70","30.76","1.58","15.41"
"2501005","Araruna (PB)","100.00","35.52","12.48","5.18","17.86","20.52","21.41","0.82","21.73","100.00","43.76","13.55","2.16","28.05","2.83","30.55","0.52","22.35"
"2501104","Areia (PB)","100.00","54.30","17.54","6.14","30.62","11.78","17.08","1.85","15.00","100.00","58.38","21.86","5.87","30.66","4.95","17.66","0.36","18.65"
"2501153","Areia de Baraúnas (PB)","100.00","57.14","29.22","14.68","13.24","-","2.66","-","40.20","100.00","64.17","19.89","5.96","38.32","0.91","22.36","-","12.56"
"2501203","Areial (PB)","100.00","31.84","11.44","1.93","18.48","25.29","24.77","1.30","16.80","100.00","43.82","8.45","6.29","29.07","4.33","38.42","0.38","13.06"
"2501302","Aroeiras (PB)","100.00","39.03","9.51","1.92","27.60","8.75","23.05","1.29","27.88","100.00","33.09","8.27","4.81","20.01","4.28","47.34","0.36","14.93"
"2501351","Assunção (PB)","100.00","46.61","11.79","9.01","25.80","4.84","28.72","1.13","18.71","100.00","59.65","9.51","10.74","39.41","1.28","19.18","1.29","18.59"
"2501401","Baía da Traição (PB)","100.00","32.56","11.40","2.13","19.03","8.18","30.97","1.49","26.81","100.00","37.71","8.29","3.81","25.61","2.63","37.34","1.29","21.03"
"2501500","Bananeiras (PB)","100.00","32.81","9.13","4.50","19.17","24.67","22.70","0.12","19.71","100.00","38.72","10.18","4.56","23.97","7.66","29.94","0.71","22.97"
"2501534","Baraúna (PB)","100.00","41.03","6.76","7.21","27.06","6.37","24.70","0.32","27.59","100.00","49.78","10.98","4.16","34.63","0.96","22.37","0.16","26.74"
"2501575","Barra de Santana (PB)","100.00","36.71","3.23","10.40","23.09","14.70","29.32","0.19","19.08","100.00","39.54","4.08","3.20","32.26","1.72","38.31","0.15","20.28"
"2501609","Barra de Santa Rosa (PB)","100.00","39.47","5.89","5.86","27.72","18.29","13.47","0.64","28.14","100.00","40.23","7.79","5.82","26.62","6.08","26.34","0.08","27.26"
"2501708","Barra de São Miguel (PB)","100.00","61.39","7.76","7.48","46.15","5.60","13.61","2.09","17.31","100.00","58.26","5.50","5.61","47.15","4.31","3.98","0.26","33.18"
"2501807","Bayeux (PB)","100.00","72.61","39.33","7.02","26.26","1.29","0.31","1.03","24.75","100.00","73.92","41.96","5.23","26.73","1.07","1.04","0.79","23.18"
"2501906","Belém (PB)","100.00","51.24","8.73","8.55","33.96","1.61","23.14","0.17","23.83","100.00","52.20","10.68","5.54","35.99","1.37","20.98","0.73","24.72"
"2502003","Belém do Brejo do Cruz (PB)","100.00","60.61","5.96","4.90","49.74","2.77","4.58","2.21","29.83","100.00","60.28","5.89","9.72","44.67","2.30","10.13","0.33","26.96"
"2502052","Bernardino Batista (PB)","100.00","49.36","1.14","14.62","33.60","22.50","10.89","-","17.25","100.00","48.50","5.82","19.76","22.93","1.99","28.71","-","20.80"
"2502102","Boa Ventura (PB)","100.00","67.90","7.92","16.05","43.94","14.08","-","1.12","16.89","100.00","55.74","22.55","8.68","24.50","8.89","19.07","0.31","15.99"
"2502151","Boa Vista (PB)","100.00","69.39","20.89","12.71","35.78","3.26","0.41","1.29","25.65","100.00","59.86","17.31","7.07","35.48","2.61","15.46","0.26","21.81"
"2502201","Bom Jesus (PB)","100.00","61.81","8.06","8.54","45.21","8.09","2.70","0.76","26.63","100.00","68.13","17.01","5.34","45.79","2.26","14.51","0.83","14.26"
"2502300","Bom Sucesso (PB)","100.00","53.60","3.25","9.36","41.00","12.25","17.50","4.99","11.66","100.00","52.52","6.86","10.61","35.05","3.48","18.87","0.19","24.94"
"2502409","Bonito de Santa Fé (PB)","100.00","48.98","7.52","3.86","37.59","17.96","11.63","1.46","19.98","100.00","52.52","13.96","3.36","35.20","2.37","18.80","0.63","25.68"
"2502508","Boqueirão (PB)","100.00","51.74","9.04","7.43","35.27","6.02","4.83","2.24","35.17","100.00","50.47","8.11","4.32","38.04","5.07","10.47","1.29","32.71"
"2502607","Igaracy (PB)","100.00","47.73","10.25","6.61","30.87","10.27","20.61","0.90","20.50","100.00","56.02","11.72","9.42","34.87","5.80","18.33","2.02","17.84"
"2502706","Borborema (PB)","100.00","45.16","13.84","5.93","25.40","14.47","14.41","0.62","25.34","100.00","54.61","9.76","8.08","36.78","1.47","18.92","-","24.99"
"2502805","Brejo do Cruz (PB)","100.00","66.47","7.21","7.17","52.09","5.06","4.77","1.00","22.70","100.00","68.91","5.50","4.37","59.04","2.51","4.44","1.09","23.05"
"2502904","Brejo dos Santos (PB)","100.00","36.83","14.32","8.57","13.94","6.44","2.88","1.72","52.13","100.00","68.02","17.39","8.19","42.45","3.89","6.69","0.57","20.83"
"2503001","Caaporã (PB)","100.00","77.63","37.52","13.65","26.46","0.52","1.57","2.23","18.05","100.00","72.64","33.91","16.39","22.34","1.78","10.75","0.37","14.45"
"2503100","Cabaceiras (PB)","100.00","47.83","15.63","4.34","27.86","10.16","9.00","-","33.02","100.00","52.64","10.79","2.58","39.26","3.67","15.91","0.75","27.03"
"2503209","Cabedelo (PB)","100.00","74.66","36.05","12.98","25.63","1.38","0.90","3.27","19.79","100.00","74.09","41.04","11.23","21.82","0.66","1.21","3.02","21.01"
"2503308","Cachoeira dos Índios (PB)","100.00","46.76","13.54","6.85","26.37","12.96","28.25","0.81","11.23","100.00","61.84","19.35","7.63","34.87","3.18","16.61","-","18.37"
"2503407","Cacimba de Areia (PB)","100.00","39.01","10.01","8.90","20.11","9.14","39.51","0.53","11.81","100.00","57.09","17.14","2.18","37.76","1.04","22.34","0.39","19.15"
"2503506","Cacimba de Dentro (PB)","100.00","30.33","6.57","4.70","19.07","29.71","25.62","1.70","12.64","100.00","41.68","9.74","4.07","27.87","7.79","22.90","0.49","27.14"
"2503555","Cacimbas (PB)","100.00","24.44","2.91","6.48","15.06","23.49","47.60","0.27","4.20","100.00","31.93","6.04","8.89","17.00","3.46","52.00","0.36","12.25"
"2503605","Caiçara (PB)","100.00","51.60","11.96","9.44","30.19","5.17","29.50","1.14","12.60","100.00","51.78","12.59","8.14","31.05","4.43","25.15","0.46","18.19"
"2503704","Cajazeiras (PB)","100.00","53.22","18.55","8.93","25.74","5.43","11.40","2.25","27.69","100.00","64.56","22.40","7.26","34.90","0.88","8.24","1.95","24.38"
"2503753","Cajazeirinhas (PB)","100.00","63.98","3.88","7.77","52.33","5.15","13.16","-","17.70","100.00","64.48","9.31","2.05","53.12","0.79","11.31","1.42","22.00"
"2503803","Caldas Brandão (PB)","100.00","52.57","18.93","8.47","25.17","2.56","28.28","0.75","15.84","100.00","61.86","25.89","7.60","28.37","1.23","20.54","1.78","14.59"
"2503902","Camalaú (PB)","100.00","48.44","5.93","6.76","35.74","12.09","4.08","0.90","34.49","100.00","33.81","6.87","3.67","23.27","4.53","33.58","0.86","27.21"
"2504009","Campina Grande (PB)","100.00","67.74","36.34","7.03","24.37","2.44","2.06","2.46","25.30","100.00","69.83","40.64","7.85","21.34","1.67","2.69","2.61","23.19"
"2504033","Capim (PB)","100.00","75.24","49.86","4.82","20.55","5.96","5.18","1.05","12.59","100.00","65.17","33.19","14.51","17.47","0.91","19.98","-","13.94"
"2504074","Caraúbas (PB)","100.00","53.61","9.49","7.40","36.72","5.88","16.36","0.69","23.46","100.00","66.98","5.62","12.58","48.78","4.27","7.97","-","20.79"
"2504108","Carrapateira (PB)","100.00","43.29","6.23","11.28","25.78","13.31","11.27","2.10","30.04","100.00","71.04","6.51","17.80","46.73","1.40","4.60","0.42","22.53"
"2504157","Casserengue (PB)","100.00","21.54","5.71","1.76","14.06","40.01","33.58","-","4.87","100.00","47.93","6.26","3.02","38.65","2.20","34.61","0.25","15.01"
"2504207","Catingueira (PB)","100.00","49.49","8.92","12.06","28.51","16.10","19.64","0.43","14.35","100.00","61.39","20.70","7.75","32.94","1.42","26.18","0.27","10.74"
"2504306","Catolé do Rocha (PB)","100.00","56.03","17.81","4.65","33.57","4.17","6.97","2.07","30.76","100.00","66.10","29.85","3.86","32.40","1.75","4.75","0.94","26.45"
"2504355","Caturité (PB)","100.00","58.23","14.66","4.87","38.71","4.61","12.39","1.71","23.06","100.00","50.65","18.59","3.14","28.91","2.45","8.19","-","38.71"
"2504405","Conceição (PB)","100.00","53.75","5.98","14.58","33.19","13.83","12.52","2.24","17.67","100.00","45.87","10.95","6.06","28.85","2.13","18.15","0.18","33.67"
"2504504","Condado (PB)","100.00","44.07","3.23","10.18","30.65","11.58","12.80","0.46","31.09","100.00","54.33","8.81","8.18","37.34","2.03","19.47","0.33","23.84"
"2504603","Conde (PB)","100.00","57.04","21.20","3.82","32.02","6.92","2.36","0.87","32.82","100.00","67.27","31.46","5.95","29.86","2.07","8.15","1.23","21.29"
"2504702","Congo (PB)","100.00","46.47","6.84","1.81","37.82","10.32","9.52","0.73","32.96","100.00","53.93","10.43","5.16","38.34","4.58","13.64","0.90","26.95"
"2504801","Coremas (PB)","100.00","46.17","11.19","4.99","29.99","8.03","13.48","1.77","30.55","100.00","52.38","9.73","2.79","39.86","5.01","11.34","0.77","30.50"
"2504850","Coxixola (PB)","100.00","44.75","6.71","6.92","31.12","13.45","-","0.96","40.84","100.00","47.60","4.77","10.36","32.48","2.21","39.34","-","10.85"
"2504900","Cruz do Espírito Santo (PB)","100.00","57.28","26.92","5.11","25.25","8.45","14.01","-","20.26","100.00","68.15","34.00","2.63","31.52","1.58","17.62","0.30","12.35"
"2505006","Cubati (PB)","100.00","41.62","8.52","3.47","29.63","19.29","7.99","1.64","29.46","100.00","53.63","13.77","2.64","37.22","2.56","24.24","-","19.57"
"2505105","Cuité (PB)","100.00","35.27","5.34","5.26","24.67","20.89","26.35","1.59","15.91","100.00","42.61","10.46","5.09","27.06","5.34","23.98","0.77","27.30"
"2505204","Cuitegi (PB)","100.00","53.53","10.35","15.32","27.87","8.24","22.00","1.36","14.86","100.00","61.56","19.87","9.43","32.26","2.07","12.12","0.69","23.56"
"2505238","Cuité de Mamanguape (PB)","100.00","36.37","8.83","8.23","19.31","5.41","36.78","-","21.44","100.00","60.82","10.86","3.76","46.20","0.18","28.84","0.76","9.40"
"2505279","Curral de Cima (PB)","100.00","42.21","1.67","5.09","35.45","17.83","23.78","1.78","14.39","100.00","53.11","4.42","6.24","42.45","0.38","34.38","0.16","11.97"
"2505303","Curral Velho (PB)","100.00","61.30","12.61","4.27","44.41","4.74","3.39","0.45","30.13","100.00","74.97","26.92","8.64","39.42","0.33","11.31","-","13.38"
"2505352","Damião (PB)","100.00","22.91","1.37","7.65","13.90","32.25","30.84","0.75","13.25","100.00","33.73","4.11","4.16","25.46","5.14","48.48","0.26","12.39"
"2505402","Desterro (PB)","100.00","40.69","6.30","6.72","27.66","4.79","38.48","0.32","15.72","100.00","47.74","5.93","7.85","33.96","4.07","31.28","0.50","16.42"
"2505501","Vista Serrana (PB)","100.00","46.36","3.49","4.15","38.71","7.87","18.13","1.32","26.33","100.00","54.70","3.01","14.34","37.35","2.65","27.51","0.88","14.26"
"2505600","Diamante (PB)","100.00","35.17","3.45","12.78","18.94","12.60","38.27","0.19","13.77","100.00","50.78","15.42","12.03","23.33","2.51","25.80","1.73","19.18"
"2505709","Dona Inês (PB)","100.00","26.05","4.17","5.56","16.32","25.86","34.04","0.61","13.43","100.00","37.49","5.92","6.44","25.13","1.64","41.93","0.35","18.59"
"2505808","Duas Estradas (PB)","100.00","45.65","10.51","15.23","19.90","15.78","18.02","-","20.56","100.00","63.46","12.11","10.60","40.75","6.14","18.16","0.80","11.44"
"2505907","Emas (PB)","100.00","51.30","12.83","18.36","20.11","18.38","14.49","-","15.83","100.00","70.05","9.16","19.39","41.50","0.15","12.31","-","17.49"
"2506004","Esperança (PB)","100.00","44.00","12.49","8.85","22.67","22.29","12.99","2.34","18.38","100.00","50.77","22.01","4.52","24.24","2.16","21.26","0.82","25.00"
